"GEO_ID","NAME","B19301_001E","B19301_001M",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US37001020100","Census Tract 201; Alamance County; North Carolina","36384","6984",
"1400000US37001020200","Census Tract 202; Alamance County; North Carolina","16999","2944",
"1400000US37001020301","Census Tract 203.01; Alamance County; North Carolina","19562","2140",
"1400000US37001020302","Census Tract 203.02; Alamance County; North Carolina","20704","5129",
"1400000US37001020400","Census Tract 204; Alamance County; North Carolina","20015","2418",
"1400000US37001020501","Census Tract 205.01; Alamance County; North Carolina","24850","2746",
"1400000US37001020502","Census Tract 205.02; Alamance County; North Carolina","19246","2246",
"1400000US37001020601","Census Tract 206.01; Alamance County; North Carolina","61114","9256",
"1400000US37001020602","Census Tract 206.02; Alamance County; North Carolina","51589","14215",
"1400000US37001020701","Census Tract 207.01; Alamance County; North Carolina","38817","6114",
"1400000US37001020702","Census Tract 207.02; Alamance County; North Carolina","29886","5312",
"1400000US37001020801","Census Tract 208.01; Alamance County; North Carolina","25862","4446",
"1400000US37001020802","Census Tract 208.02; Alamance County; North Carolina","19373","2485",
"1400000US37001020901","Census Tract 209.01; Alamance County; North Carolina","33710","5092",
"1400000US37001020902","Census Tract 209.02; Alamance County; North Carolina","36423","4331",
"1400000US37001021000","Census Tract 210; Alamance County; North Carolina","16654","2078",
"1400000US37001021101","Census Tract 211.01; Alamance County; North Carolina","34876","4903",
"1400000US37001021102","Census Tract 211.02; Alamance County; North Carolina","34511","5518",
"1400000US37001021201","Census Tract 212.01; Alamance County; North Carolina","23276","2390",
"1400000US37001021204","Census Tract 212.04; Alamance County; North Carolina","35156","3664",
"1400000US37001021205","Census Tract 212.05; Alamance County; North Carolina","37363","4772",
"1400000US37001021206","Census Tract 212.06; Alamance County; North Carolina","35757","7415",
"1400000US37001021207","Census Tract 212.07; Alamance County; North Carolina","32718","6370",
"1400000US37001021300","Census Tract 213; Alamance County; North Carolina","36308","2460",
"1400000US37001021400","Census Tract 214; Alamance County; North Carolina","37642","8063",
"1400000US37001021500","Census Tract 215; Alamance County; North Carolina","37835","5871",
"1400000US37001021600","Census Tract 216; Alamance County; North Carolina","25048","3195",
"1400000US37001021701","Census Tract 217.01; Alamance County; North Carolina","45610","4892",
"1400000US37001021702","Census Tract 217.02; Alamance County; North Carolina","33255","5702",
"1400000US37001021703","Census Tract 217.03; Alamance County; North Carolina","44146","5903",
"1400000US37001021801","Census Tract 218.01; Alamance County; North Carolina","35509","3826",
"1400000US37001021802","Census Tract 218.02; Alamance County; North Carolina","30915","4731",
"1400000US37001021803","Census Tract 218.03; Alamance County; North Carolina","25652","3949",
"1400000US37001021901","Census Tract 219.01; Alamance County; North Carolina","37681","3523",
"1400000US37001021902","Census Tract 219.02; Alamance County; North Carolina","30180","4440",
"1400000US37001022001","Census Tract 220.01; Alamance County; North Carolina","38403","3345",
"1400000US37001022002","Census Tract 220.02; Alamance County; North Carolina","38298","9910",
"1400000US37003040100","Census Tract 401; Alexander County; North Carolina","28852","4485",
"1400000US37003040200","Census Tract 402; Alexander County; North Carolina","33163","4370",
"1400000US37003040300","Census Tract 403; Alexander County; North Carolina","28949","6378",
"1400000US37003040400","Census Tract 404; Alexander County; North Carolina","26792","2283",
"1400000US37003040500","Census Tract 405; Alexander County; North Carolina","30582","7607",
"1400000US37003040600","Census Tract 406; Alexander County; North Carolina","26374","5769",
"1400000US37003040700","Census Tract 407; Alexander County; North Carolina","37763","7318",
"1400000US37005950100","Census Tract 9501; Alleghany County; North Carolina","39402","9608",
"1400000US37005950200","Census Tract 9502; Alleghany County; North Carolina","26270","2791",
"1400000US37005950300","Census Tract 9503; Alleghany County; North Carolina","30300","8085",
"1400000US37007920100","Census Tract 9201; Anson County; North Carolina","23620","2602",
"1400000US37007920200","Census Tract 9202; Anson County; North Carolina","25070","3507",
"1400000US37007920301","Census Tract 9203.01; Anson County; North Carolina","27196","4012",
"1400000US37007920302","Census Tract 9203.02; Anson County; North Carolina","29124","6194",
