SRC,DST,DIST,STFIP,COFIP,URBAN,SPEED,SIGN,NAME,AADT
1,2,17.912424,2,290,99999,50.0,S11,James Dalton Hwy,140
1,1145,24.201067000000002,2,290,99999,50.0,S11,James Dalton Hwy,140
2,1522,1.103467,2,290,99999,35.0,S11,James Dalton Hwy,140
3,19,0.805146,23,3,99998,45.0,U1,,4791
3,369854,0.403536,23,3,99998,35.0,U1,,6558
4,5,0.700074,23,3,99999,55.0,U1,,5387
4,6,0.459986,23,3,99999,55.0,U1,,5387
5,13,1.330161,23,3,99999,55.0,U1,,5387
6,7,0.100335,23,3,99999,45.0,U1,,6633
7,8,0.090225,23,3,99999,45.0,U1,,6642
8,369842,0.070219,23,3,99999,45.0,U1,,6661
9,10,12.455991,15,1,99999,55.0,S19,,4600
9,570,3.368685,15,1,99999,55.0,S19,,7700
10,120,0.269914,15,1,99999,45.0,S19,,4600
11,12,7.699296,15,1,99998,55.0,S19,,8300
11,100,0.263072,15,1,99999,55.0,S19,,8300
12,75,11.844369,15,1,99998,55.0,S19,,9700
13,14,0.27545,23,3,99998,45.0,U1,,5387
14,369854,0.071795,23,3,99998,35.0,U1,,5387
15,16,0.477078,23,3,99999,35.0,U1,,4139
15,19,0.045466,23,3,99998,35.0,U1,,3073
16,20,0.099372,23,3,99999,45.0,U1,,4139
17,18,0.052977,23,3,99999,45.0,U1,,3264
17,20,0.059656,23,3,99999,45.0,U1,,4139
18,369839,0.54385,23,3,99999,50.0,U1,,3309
21,22,6.485730999999999,23,3,99999,55.0,U1,,1344
21,369840,6.641507,23,3,99999,50.0,U1,,1507
22,25,0.959126,23,3,99999,50.0,U1,,1638
23,64,0.100369,72,13,0,45.0,I22,Expo De Diego,43400
23,419,0.099806,72,13,0,45.0,I22,Expo De Diego,43400
24,111755,0.098901,72,55,0,25.0,I2,,25100
24,364882,0.099099,72,55,0,25.0,I2,,25100
25,369790,0.648067,23,3,99999,35.0,U1,,1961
26,27,0.098297,72,25,79093,25.0,S172,,23900
26,71748,0.099765,72,25,79093,25.0,S172,,23900
27,277402,0.098652,72,25,79093,25.0,S172,,23900
28,29,0.098338,72,127,0,30.0,I26,,106600
28,233703,0.098481,72,127,0,30.0,I26,,106600
29,339433,0.097618,72,127,0,30.0,I26,,106600
30,31,0.102374,72,127,79093,35.0,S35,,12300
30,253735,0.10093,72,127,79093,35.0,S35,,12300
31,32,0.101674,72,127,79093,35.0,S35,,12300
32,60,0.103509,72,127,79093,35.0,S35,,12300
33,34,0.100676,72,127,79093,35.0,S25,,9600
33,254849,0.10075,72,127,79093,35.0,S25,,9600
34,339317,0.101115,72,127,79093,25.0,S25,,14600
35,36,0.099597,72,127,79093,35.0,S177,,15017
35,226843,0.099349,72,127,79093,35.0,S177,,15017
36,334463,0.062703,72,127,79093,35.0,S177,,15017
37,38,0.10001,72,15,35866,45.0,S3,,22900
37,261539,0.099965,72,15,35866,45.0,S3,,19800
38,56712,0.065045,72,15,35866,45.0,S3,,22900
39,40,0.101832,72,25,79093,30.0,S156,,25100
39,75560,0.100576,72,25,79093,30.0,S156,,25100
40,286052,0.100216,72,25,79093,30.0,S156,,14000
41,42,0.099486,72,25,79093,40.0,S1,,41600
41,82128,0.096926,72,25,79093,40.0,S1,,41600
42,298451,0.100447,72,25,79093,40.0,S1,,41600
43,44,0.05278,72,127,79093,35.0,S199,,46800
43,225351,0.099791,72,127,79093,35.0,S199,,46800
44,333953,0.09689,72,127,79093,35.0,S199,,46800
45,46,0.099448,72,127,0,30.0,S17,Calle General Del Valle,80700
45,233695,0.097813,72,127,0,30.0,S17,Calle General Del Valle,80700
46,336256,0.098666,72,127,0,30.0,S17,Calle General Del Valle,80700
47,48,0.099209,72,127,79093,25.0,S23,,25700
47,253398,0.100366,72,127,79093,25.0,S23,,25700
48,338618,0.099968,72,127,79093,25.0,S23,,25700
49,50,0.10247,72,25,0,25.0,I52,,58300
49,276077,0.102219,72,25,0,25.0,I52,,58300
50,69548,0.102602,72,25,0,25.0,I52,,58300
51,52,0.098896,72,127,79093,45.0,S176,,11348
